,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ADHOC,,,TREATMENT,,,,,,SALESMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BEAUTYLOGY CLINIC,2026-07-01,,BEDBUG,Negambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DIMUTHU TENNAKON,2026-07-01,,MC,kapuwatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DR LAKPRIYA- UDUGABAGE,2026-07-01,,MC,Nawinna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,GREEN VALLEY,2026-07-01,,MC,Hanwella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HERITAGE TEAS,2026-07-01,,ANT,Gothatuwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,JETWING- LAGOON,2026-07-04,,SPT,Wellampitiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LOLC,2026-07-05,,MC,Makumbura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MR HASITHA GAYAN,2026-07-06,,TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MR MOORTHY,2026-07-07,,TC,Thalawathugoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mr ROSHAN SENEVIRATHNE,2026-07-07,,MC,Panadura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,MR SUPUN APPUHAMI,2026-07-07,,MC,Ja Ela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SPECTRA TRANSPORT DIVISION,"8-JULY, 12-JULY",,BEDBUG,Wattala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,AIR COOL TRADING,2026-07-10,,RC,PITAKOTTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NDB - NAWAM MAWATHA- 12TH FLOOR,2026-07-13,,COCKROACH,Nawam Mawatha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NDB -KADANA,2026-07-13,,TC,KADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MALIBAN SP JOB,2026-07-13,,FOGGING,RATHMALANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,GILLS CHAIRMAN HOUSE,2026-07-13,,MC,WATTALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MOTHERSON STACK FUMIGATION,2026-07-13,,FUMIGATION,PADDUKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SERENDIVA LOUNGE,2026-07-15,,GPC,AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MARINE CHIEF - MR JAYATHILAKE,2026-07-16,,MC,RAGAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MR AKINDU,2026-07-16,,MC,WATTALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MR DINUSHA FERNANDO,2026-07-16,,TC,MORATUWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UNISTAR INTERNATIONAL,2026-07-17,,FUMIGATION,RATHMALANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NDB- KOCCHI KADE,2026-07-18,,TC,KOCCHIKADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MR PRIYANTHI FERNANDO - PROPEST,21-JULY``,,GPC - RC,PANNIPITIYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,NELNA FARM - MITHRIGALA,2026-07-21,,TC,MITHRIGALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,KOSLA KARUNARATHNE- PROPEST,2026-07-22,,TC,PANNIPITYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,NATIONAL HOSPITAL - ASPOD & DRIVERS ACCOMODATION,2026-07-23,,BEDBUG,COLOMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CHARITH YALAGALLA,2026-07-27,,MC,MARADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,NDB BANK - PANADURA,2026-07-28,,GPC/RC,PANADURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RDS - WATTALA AND COLOMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1, Interocean logistics ltd - RDS Wattala house,,,GPC/RC/MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2, Interocean logistics ltd - RDS Wattala house,,,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3, Interocean services ltd - 2 WH's,,,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, Interocean logistics ltd - RDS camebridge house,,,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5, Interocean logistics ltd - RDS camebridge house,,,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLIENT,ARRANGED,LAST,CURRENT,TREATMENT,LOCATION,CONTACT NUMBER,FREQUENCY,Prefer Day,Duration and PCT ,SALESMAN,,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN,MON,TUE,WED,THU,FRI,SAT,SUN
,,TO BE ,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
01 .,MANULAS- MONTHLEY TREATMENTS,CONFIRMATION,DATE,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AMAGI FOODS PVT LTD,DONE,16,13 (2.00 PM),GPC/RC/FLY/MC,EKALA,0770899800 (SHIVANTHI),MONTHLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ASIAN AGRO PRODUCTS,DONE,5,2026-01-29,GPC,KATUNAYAKA,0777262612 (ASHEN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BELUMMAHARA MILLS,DONE,18,8,GPC/ RC,BELUMMAHARA,,Monthly,,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C E W A S (TANDEM SPEED),DONE,8,12,GPC/MC,RATHMALANA,0754053481 (chathurani),FORTNIGHTY,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C E W A S (TANDEM SPEED),DONE,11,28,MC,RATHMALANA,0763591144 (Office),FORTNIGHTY,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DINUTH CEYFOOD,DONE,14,14,GPC/RC/MC,SEEDUWA,0771054372 (Maheesha),Monthly,weekday after 2 pm,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DIMO AGRI BUSINESS,DONE,15,18,MC,PELIYAGODA,0742702934 (Mr Rashika),Monthly,Sturday 2pm,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DRUGS COPARATION (SL AYURVEDIC),DONE,17,14 (9.00 AM),GPC/RC/MC,NAWINNA,,Monthly,week day 10 am,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EARL REEF HOTEL,DONE,6,4,GPC/RC/MC,BERUWALA,0773766379 (Theshan),,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ETHAL GROUP (PVT) LTD,DONE,4,8,RC/MC,KAHAPOLA,0777254763 (PAWANI ),Monthly,SATURDAY,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,GILLS INTERNATIONAL,DONE,5,2,GPC+RC,KATUNAYAKA - BY KTN,0784249433 (Hasitha),Monthly,Sunday,3 hrs - 02 PCT,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GILLS INTERNATIONAL,DONE,19,23 (5.00PM),FLY,KATUNAYAKA - BY KTN,0784249433 (Hasitha),Monthly,Monday,1.5 hrs - 02 PCT,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,GILLS FOOD KATUNAYAKE,DONE,19,22 (3.00 PM),GPC+RC,KATUNAYAKE,0754322589 (DILSHANI),Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HERITAGE TEAS (PVT) LTD,DONE,17, 13 - 8.30,RC,WELLAMPITIYA,0774133501 (Amal),Monthly,FRIDAY,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,HERITAGE TEAS (PVT) LTD,DONE,26,15 - 7.30 AM,GPC (COCKROACH),WELLAMPITIYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,JETWING LAGOON WELLNESS,DONE,6,"11 , 12",RC/GPC/MC,NEGAMBO,0707443116 (Mr Nihal),Monthly,1st week,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,JETWING LAGOON WELLNESS,DONE,31,30,MC,NEGAMBO,,Fortnight,3rd week,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NDB- MAIN BRANCH - 01,DONE,"14 , 15",12,GPC/RC,MALAMBE DR,,Monthly,weekday night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NDB - MAIN BRANCH - 02,DONE,12,16,GPC/RC,MARINE DRIVE,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NDB - MAIN BRANCH - 03,DONE,13,12,GPC/RC,GREEN LANKA,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,NDB - MAIN BRANCH - 04,DONE,14,12,GPC/RC,NARAHENPITA,,Monthly,weekday,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,NDB - MAIN BRANCH - 05,DONE,12,16,GPC/RC,VAUXHALL STREET,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,NDB - MAIN BRANCH - 06,DONE,12,16,GPC/RC,PETTAH,,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,NDB - NAWAM MAWATHA,DONE,12,16,GPC/MC/ RC,NAWAM MAWATHA,,Monthly,2 pm Sunday,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NDB - DARMAPALA MAWATHA,DONE,12,16,GPC/MC/ RC,DARMPALA MAWATHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,S.T ANTHONY’S BIZ (Pvt) LTD,DONE,14,13 (10.00am),GPC+RC,JA ELA,0715165030 (HIMASHA),Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SPECTRA LOGISTICS,DONE,8,5,GPC/RC/MC,DC,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,SPECTRA LOGISTICS,DONE,8,5,GPC/RC/MC,DEPOT,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,SPECTRA LOGISTICS,DONE,2,3,GPC/RC/MC,WATTALA,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SPECTRA LOGISTICS,DONE,2,3,GPC/RC/MC,SAPUGASKANDA,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,SPECTRA LOGISTICS,DONE,2,3,GPC/RC/MC,NITTABUWA,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,SPECTRA LOGISTICS,DONE,2,3,GPC/RC/MC,JA ELA ( WH ),,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,WICHY BEVERAGE,DONE,6,4,GPC/RC,SEETHAWAKAPURA,,Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,SUNIL TRADERS,DONE,4,4,RC,HOKANDARA,772216512,Monthly,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,GILLS WATTALA (ANDREWS PREIMIUM),DONE,26,22,GPC/RC,WATTALA,0754322589 (DILSHANI),Monthly,,,WASANTHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,FORT HERITAGE VENTURES (HOTEL),Postponed,"9 , 24",,GPC/MC/RC,MATARA,0777213817 (Mr Nuwan),Monthly,,,Wijee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,FORT HERITAGE VENTURES (RESIDENCE),Postponed,"9 , 24",,GPC/MC/RC,MATARA,077213817 (Mr Nuwan),Monthly,,,Wijee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CEYLON ROYAL TEAS (Pvt) LTD - WAREHOUSE,DONE,20,5,GPC/RC,HOMAGAMA,0769955071 (SHRIMALEE),Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CEYLON ROYAL TEAS (Pvt) LTD - TEA FACTORY,DONE,21,7,GPC/RC,HOMAGAMA,0769955071 (SHRIMALEE),Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,BOBING GROUP (APPAREL),Postponed,25,22,MC,MT LAVINIA,0763590982 (Dinushi),Monthly,,,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ETHICAL EXTRACT (Pvt) LTD,DONE,21,20 (1.00 pm),GPC+RC,KADAWATHA,0716402663 (RANDIKA),Monthly,,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,FLEMINGO RETAIL HOSPITALITY,DONE,,5,GPC,BANDARANAYAKE AIRPORT,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,SETHMA HOSPITAL,DONE,31,31,GPC/RC/MC,GAMPAHA,718623720 (krishantha),Monthly,,,Suraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,E. L. S CONSTRUCTION,DONE,28,9,GPC/RC,KATUWAWELA,0713281422 (NIRMAL),Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NELNA FARM (Pvt) LTD,DONE,,"1 , 24",GPC/RC/MC,MITHIRIGALA,0773950241 ( lakmali ),Monthly,2 pm Saturday,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,LRH (LADY RIDGEWAY),DONE,2026-06-28,2026-12-19,RC/RCV,BORELLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CEYMED HEALTHCARE SERVICES,DONE,,"6,7",GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,HENEGAMA MILLS,DONE,7,8,GPC/RC,,0787065212 (Mr Lakindu),,12PM 3PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,NDC - EXPORTS (Pvt) LTD,DONE,18,24,FLY,PANNALA,,,3rd week (saturday),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,NDC - EXPORTS (Pvt) LTD,DONE,4,6,GPC/RC,PANNALA,0773962202 (Mr sanka),Monthly,1st week (Saturday),,Wijenayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CEYLON CHOCOLATE LTD,DONE,,20,GPC - RC,COLOMBO 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,NMRA - COLOLMO 02,DONE,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,NMRA - COLOMBO 10,DONE,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ANTHLER GROUP,TO BE,18,,GPC,PILIYANDALA,,03 month,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,OLEENA NATURAL FOODS,TO BE,"23,24",,GPC/RC/MC ( ANT ),DIVLAPITIYA,,Monthly,,,DILHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,SERENDIB LOUNGE (SL AIRLINE),TO BE,1,,COCKROACH ,AIRPORT,,Monthly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,LOLC TECHNOLOGIES (LOIT),TO BE,11,,,RAJAGIRIYA,,Monthly,,,JANADARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,GREEN VALEY APARTMENTS,TO BE,2,,GPC/MC,HANWELLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,BARISTA COFFEE LANKA (Pvt) LTD,TO BE,,,GPC/,KADAWATHA,0703606012 (Shane),Fortnightly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,GIZ,TO BE,,,,,,,,,Janadara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,KELANIYA PRADESHIYA SABHA,TO BE,,,RC,KELANIYA,711775624,Monthly,,,pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,UPALI MILLS ,TO BE,,,GPC+RC,MARAVILA,,Monthly,Not specified,2 hrs - 02 PCT,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,PRO PEST OPARATIONS - MONTHLY,,DATE,,,COLOMBO-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CONTINENTAL TEAS,ARRANGED,27,31,GPC/RC,JA ELA,CHAMAL,Monthly,NO,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MR AKALANKA,TO BE,5,,GPC/RC,MAHARAGAMA,,Monthly,1st Sunday,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TICO ADRA - 01,DONE,3,8 (4.00 pm),GPC,COLOMBO,,Fortnightly,Friday,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,JBL FOOD CORNER,DONE,,1,GPC/RC,NUGEGODA,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TICO ADRA - 02,DONE,,18,GPC,COLOMBO,,Fortnightly,Friday,,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,MANULAS- WEEKLEY TREATMENTS,Column 3,DATE,Column 7,Column 2,Column 3 2,Column 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ALIYA LOUNGE,ARRANGED,"5,12,19,27","2,9,16,23,30",GPC/RC,COLOMBO,717400902,Weekly,SUNDAY,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BRITISH PUB,ARRANGED,"5,12,22,26","2,9,16,23,30",GPC/RC,COLOMBO,701471144,Weekly,SUNDAY,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CWIT (COLOMBO WEST TERMINAL),DONE,"12 , 26","9,23",FLY/MC,PORT,,FORTNIGHTLY,SUNDAY,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,COMMERCIAL CREDIT CENTRE,ARRANGED,"12,19,26","2,9,16,23,31",MC (FOGGING),PILIYANDALA,,Weekly,SUNDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,KALUBOWILA TEACHING HOSPITAL,ARRANGED,"2,13,25,30","5,10,20,25,31",RCV / RC,NUGEGODA,,Weekly,,,BOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NDB - DHARMAPALA MAWATHA,"DONE, ARRANGED","5,12,19,26","2,9,16,23,30",MC,,,Weekly,SUNDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NDB - NAWAM MAWATHA,"DONE, ARRANGED","5,12,19,26","2,9,16,23,30",MC,,,Weekly,SUNDAY,,BOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SILVERMILL GROUP,TO BE,As per schedule,,GPC/RC/FLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FOOD STUDIO PVT LTD,TO BE,1,"5,12,19,26",GPC,BANDARANAYAKE AIRPORT,,Weekly,1st week Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MALIBAN BISCUIT MANUFACTORIES PVT LTD,TO BE,19,2026-09-15,GPC/RC/FLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BMICH ,DONE,,"1,8,15,19",RC,COLOMBO,0717402716 (SAMEERA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,FRENCH INTERNATIONAL SCHOOL - 01,TO BE,,,MC,PARK ROAD - KIRULAPANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,FRENCH INTERNATIONAL SCHOOL - 02,TO BE,,,MC,PARK ROAD - KIRULAPANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,PRO PEST OPARATIONS - WEEKLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Continental Food,DONE,23,19,GPC/ RC ,Peliyagoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Continental Food,DONE,"1,8,15,23","5,12,19,26 ",FLY,Peliyagoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,IMRAN CARDER,TO BE,1,,MC,EPITAMULLE- PITAKOTTE,771896299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,DAILY OPARATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AIRPORT & AVIATION- KATUNAYAKE,ARRANGED,,,GPC/RC/MC,KATUNAYAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,COMMERCIAL CREDIT TRAINING CENTRE,ARRANGED,,,GPC/RC/MC,PILIYANDALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SERANDIB MILLS ,ARRANGED,,,GPC/RC/MC,COLOMBO PORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SERANDIB MILLS - HO,ARRANGED,,,RC,Orugodawatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TOPAZ HOTEL,ARRANGED,,,RC,Kandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,ON REQUEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NDB - MALAMBE,DONE,,20,RAT REMOVE,,,Monthly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,COMMERCIAL CREDIT & FINANCE - NE,DONE,,16,GPC/RC/MC,NUWARA ELIYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LOLC TECHNOLOGIES,DONE,,29,RC,COLOMBO - 02,,Monthly,weekday after 2 pm,1 PCT,Wasantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MR HISHAM`S HOUSE,TO BE,"1,25",,MC,COLPETTY,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MR HUSSAIN`S HOUSE,TO BE,2,,MC,,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,HERITAGE TEAS (PVT) LTD,TO BE,4,,STORED PEST,WELLAMPITIYA,,Monthly,,,Pubudu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NDB - HAVELOCK TOWN,TO BE,2026-02-10,,MC,Havelock Town,,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NDB -KURUNEGALA,TO BE,6,,MC,Piliyandala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NDB- GREEN LANKA,DONE,13,12,MC,Nawam Mawatha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NDB- BADULLA,TO BE,7,,MC,BADULLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NDB- KOCCHIKADE,TO BE,18,,TC,KOCCHIKADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NDB - HO-IBU,TO BE,"19,24",,ANT,HEAD OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,NDB- KEKIRAWA,TO BE,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,METHODIST CHURCH,DONE,,"21, 22",RC/MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SILVER MILL HO,ARRANGED,,"1 , 31",GPC/RC/MC,COLOMBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNB - 28,,,,TREATMENT,LOCATION,CONTACT NUMBER,,,,SALESMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ZONE 01  (FORT AND PETTAH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Call Center at IFJ Tower,DONE,28,29,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,City Office Branch,DONE,18,22,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,City Office-Audit,DONE,20,22,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,City Office-Centralize Operation,DONE,20,22,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,City Office-CTP,DONE,20,22,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,IBU,DONE,27,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Pettah,DONE,17,13,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pettah Metro,DONE,27,20,GPC/RC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
